Input | IR Sensor Values                    | Predicted                                          | Actual                                            
------------------------------------------------------------------------------------------------------------------------------------------------------
0     | 0,0,0,0,2,0,0                       |                                                    | s1                                                
1     | 0,0,0,2,0,1,0                       |                                                    | a1, a2                                            
2     | 0,1,0,0,1,0,0                       |                                                    | a1                                                
3     | 0,0,0,0,3,0,0                       |                                                    | s1, s2                                            
4     | 0,0,0,0,0,0,0                       |                                                    | b1, b2                                            
5     | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
6     | 0,0,0,1,2,0,1                       |                                                    | a1                                                
7     | 0,1,0,0,0,0,0                       |                                                    | s1, s2                                            
8     | 0,0,220,745,2,0,1                   | e3                                                 | e3                                                
9     | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
10    | 0,1,0,1,1,0,0                       |                                                    | b1, b2                                            
11    | 0,1,18,10,1,0,0                     | e3                                                 | e3                                                
12    | 0,15,14,25,7,7,0                    | c3                                                 | c3                                                
13    | 0,0,0,1,1,0,0                       |                                                    | b1                                                
14    | 0,3,0,6,1,3,0                       |                                                    | a2                                                
15    | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
16    | 4,8,15,14,12,3,4                    | g3                                                 | g3                                                
17    | 0,2,0,1,1,0,0                       |                                                    | b1                                                
18    | 0,0,86,107,62,15,0                  | e2, e3, f2, f3                                     | e2, e3, f2, f3                                    
19    | 0,0,19,6,2,0,0                      | e3                                                 | e3                                                
20    | 0,0,0,0,1,0,0                       |                                                    | a1                                                
21    | 0,0,0,0,226,1,0                     | f3                                                 | f3                                                
22    | 0,0,0,0,0,0,0                       |                                                    | b2                                                
23    | 0,0,1,2,2,0,1                       |                                                    | b1                                                
24    | 0,0,220,748,3,0,1                   | e3                                                 | e3                                                
25    | 0,0,0,2,0,0,0                       |                                                    | b1                                                
26    | 0,1,0,3,0,0,0                       |                                                    | b1                                                
27    | 0,0,0,1,0,0,0                       |                                                    | b2                                                
28    | 0,0,1,0,4,0,0                       |                                                    | r1, r2, s1, s2                                    
29    | 0,0,0,0,2,0,0                       |                                                    | a1, a2                                            
30    | 0,0,0,0,1,0,0                       |                                                    | r2                                                
31    | 5,4,14,10,12,0,5                    | g3                                                 | g3                                                
32    | 0,0,0,0,0,0,0                       |                                                    | a2                                                
33    | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
34    | 0,1,0,2,222,5,0                     | f3                                                 | f3                                                
35    | 0,0,19,30,3,0,0                     | e3                                                 | e3                                                
36    | 0,0,0,0,0,0,0                       |                                                    | r1                                                
37    | 0,0,12,34,0,0,0                     | e3                                                 | e3                                                
38    | 0,0,0,0,0,0,0                       |                                                    | r2                                                
39    | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
40    | 0,0,20,1,1,0,1                      | e3                                                 | e3                                                
41    | 0,0,1,0,4,0,0                       |                                                    | s1, s2                                            
42    | 0,0,0,0,1,0,0                       |                                                    | b1                                                
43    | 0,1,0,0,2,0,0                       |                                                    | s2                                                
44    | 4,13,13,21,12,5,5                   | c2                                                 | c2, g3                                            
45    | 1,0,2,0,0,0,0                       |                                                    | b1                                                
46    | 0,1,0,1,0,0,0                       |                                                    | a2                                                
47    | 0,0,0,0,1,0,0                       |                                                    | r1                                                
48    | 0,0,3,2,34,2,1                      | f2, f3                                             | f2, f3                                            
49    | 0,0,0,0,1,0,0                       |                                                    | r1, r2                                            
50    | 6,12,12,19,8,6,4                    | c2                                                 | c2                                                
51    | 0,1,214,749,0,0,0                   | e3                                                 | e3                                                
52    | 0,1,0,2,225,4,0                     | f3                                                 | f3                                                
53    | 0,0,0,1,0,0,0                       |                                                    | a1, a2, b1, b2                                    
54    | 0,0,218,750,2,0,0                   | e3                                                 | e3                                                
55    | 0,0,0,2,0,0,0                       |                                                    | a1, a2, b1, b2                                    
56    | 4,13,15,21,14,3,6                   | c2, g3                                             | c2, g3                                            
57    | 0,0,2,3,32,4,0                      | f2, f3                                             | f2, f3                                            
58    | 0,0,0,0,0,0,0                       |                                                    | s2                                                
59    | 0,0,0,3,1,0,0                       |                                                    | r1, r2, s1, s2                                    
60    | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
61    | 0,0,0,1,0,0,0                       |                                                    | r1                                                
62    | 1,1,217,747,3,0,0                   | e3                                                 | e3                                                
63    | 0,0,0,0,2,0,0                       |                                                    | r2                                                
64    | 0,1,0,6,12,9,0                      | f2                                                 | f2                                                
65    | 1,0,2,3,33,4,0                      | f2, f3                                             | f2, f3                                            
66    | 2,1,219,748,2,0,0                   | e3                                                 | e3                                                
67    | 0,0,0,0,2,0,0                       |                                                    | s1                                                
68    | 0,1,2,4,12,8,0                      | f2                                                 | f2                                                
69    | 0,0,0,0,2,0,1                       |                                                    | r1, r2                                            
70    | 0,0,0,0,1,0,0                       |                                                    | r2                                                
71    | 3,13,16,20,13,3,4                   | c2, g3                                             | c2, g3                                            
72    | 0,0,16,7,1,0,0                      | e3                                                 | e3                                                
73    | 0,0,0,1,3,0,0                       |                                                    | s1                                                
74    | 0,0,0,0,0,0,0                       |                                                    | r2                                                
75    | 0,8,8,13,8,1,0                      | g3                                                 | g3                                                
76    | 0,0,0,0,226,4,0                     | f3                                                 | f3                                                
77    | 0,2,0,0,0,0,0                       |                                                    | a1, a2                                            
78    | 0,0,16,31,1,0,0                     | e3                                                 | e3                                                
79    | 4,13,16,19,11,4,8                   | c2                                                 | c2                                                
80    | 0,0,0,0,2,0,0                       |                                                    | a1                                                
81    | 0,0,0,0,0,0,0                       |                                                    | r1                                                
82    | 5,8,14,14,13,2,6                    | g3                                                 | g3                                                
83    | 3,12,14,18,13,2,5                   | c2, g3                                             | c2                                                
84    | 0,0,15,5,0,0,0                      | e3                                                 | e3                                                
85    | 0,0,0,0,1,0,0                       |                                                    | r1                                                
86    | 0,0,0,2,2,0,0                       |                                                    | s1                                                
87    | 0,0,0,0,0,0,0                       |                                                    | s2                                                
88    | 0,0,0,4,10,8,0                      | f2                                                 | f2                                                
89    | 0,0,0,1,0,0,0                       |                                                    | s1                                                
90    | 0,0,0,0,0,0,0                       |                                                    | r1                                                
91    | 0,0,0,1,0,1,0                       |                                                    | s1                                                
92    | 0,0,0,1,0,0,0                       |                                                    | a2                                                
93    | 0,0,3,3,16,6,0                      | f2                                                 | f2                                                
94    | 0,0,0,1,1,0,0                       |                                                    | r1, r2, s1, s2                                    
95    | 0,8,4,14,5,1,0                      |                                                    | g3                                                
96    | 2,9,13,14,11,0,4                    | g3                                                 | c2                                                
97    | 0,0,0,0,0,1,0                       |                                                    | s1, s2                                            
98    | 0,0,1,4,34,5,0                      | f2, f3                                             | f2, f3                                            
99    | 0,0,1,0,1,0,0                       |                                                    | s1, s2                                            
100   | 0,0,16,8,1,0,0                      | e3                                                 | e3                                                
101   | 0,0,19,34,1,0,0                     | e3                                                 | e3                                                
102   | 0,0,0,0,0,0,0                       |                                                    | b1                                                
103   | 0,0,19,32,2,0,0                     | e3                                                 | e3                                                
104   | 0,0,14,7,0,1,0                      | e3                                                 | e3                                                
105   | 0,0,0,1,223,7,0                     | f3                                                 | f3                                                
106   | 0,0,3,5,15,7,0                      | f2                                                 | f2                                                
107   | 0,0,0,2,1,0,0                       |                                                    | b2                                                
108   | 0,0,2,5,30,4,0                      | f2, f3                                             | f2, f3                                            
109   | 0,2,216,748,1,0,0                   | e3                                                 | e3                                                
110   | 0,0,0,0,0,0,0                       |                                                    | b2                                                
111   | 0,0,0,0,1,0,0                       |                                                    | r1, r2, s1, s2                                    
112   | 3,8,9,14,10,3,5                     | g3                                                 | g3                                                
113   | 0,0,0,1,1,0,0                       |                                                    | a1, a2                                            
114   | 0,0,0,1,1,0,0                       |                                                    | a2                                                
115   | 0,0,0,1,0,0,0                       |                                                    | s1                                                
116   | 1,0,1,1,228,3,0                     | f3                                                 | f3                                                
117   | 0,0,4,2,16,7,1                      | f2                                                 | f2                                                
118   | 0,0,0,2,1,0,0                       |                                                    | a1                                                
119   | 0,0,0,0,0,0,0                       |                                                    | r1, r2, s1, s2                                    
120   | 0,0,0,0,1,0,0                       |                                                    | r1                                                
121   | 0,0,0,0,0,0,0                       |                                                    | r2                                                
122   | 0,0,0,0,3,0,0                       |                                                    | s1                                                
123   | 0,0,2,0,5,0,0                       |                                                    | s1, s2                                            
124   | 0,0,2,3,32,1,0                      | f2, f3                                             | f2, f3                                            
125   | 0,0,0,0,0,0,0                       |                                                    | a1, a2, b1, b2                                    
126   | 0,1,0,0,1,0,0                       |                                                    | a1, a2, b1, b2                                    
127   | 0,0,0,3,9,8,0                       | f2                                                 | f2                                                
128   | 4,13,20,22,16,3,6                   | c2, g3                                             | c2, g3                                            
129   | 0,0,0,2,1,0,0                       |                                                    | a1                                                
130   | 0,0,4,4,16,9,0                      | f2                                                 | f2                                                
131   | 0,0,0,1,0,0,0                       |                                                    | a1, a2                                            
132   | 0,0,0,3,2,0,0                       |                                                    | b1                                                
133   | 0,0,0,0,0,0,0                       |                                                    | s1                                                
134   | 4,13,17,19,12,3,6                   | c2, g3                                             | c2, g3                                            
135   | 0,1,0,1,2,0,0                       |                                                    | b2                                                
136   | 0,0,20,8,2,0,0                      | e3                                                 | e3                                                
137   | 0,0,0,0,0,0,0                       |                                                    | r1                                                
138   | 1,13,15,23,12,5,3                   | c2                                                 | c3                                                
139   | 0,1,0,1,0,0,0                       |                                                    | r1, r2                                            
140   | 0,0,0,0,1,0,0                       |                                                    | a2                                                
141   | 0,0,0,0,0,0,0                       |                                                    | b1, b2                                            
