Input | IR Sensor Values               | Predicted            | Actual              
-------------------------------------------------------------------------------------
0     | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s2]                
1     | [  0,  0,  1,  0,226,  1,  0]  | [f3]                 | [f3]                
2     | [  0,  0,  0,  0,227,  3,  0]  | [f3]                 | [f3]                
3     | [ 0, 0,17, 6, 1, 0, 0]         | [e2]                 | [e2]                
4     | [  0,  2,218,747,  1,  0,  0]  | [e3]                 | [e3]                
5     | [0,0,0,1,3,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
6     | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
7     | [  0,  0,  0,  2,225,  7,  0]  | [f3]                 | [f3]                
8     | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
9     | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
10    | [0,0,0,1,0,0,0]                | [b1,b2]              | [b2]                
11    | [0,0,0,0,1,0,0]                | [a1]                 | [a1,a2]             
12    | [0,0,1,0,1,0,0]                | [a2]                 | [a1,a2,b1,b2]       
13    | [ 0, 0, 2, 3,32, 3, 0]         | [f2,f3]              | [f2,f3]             
14    | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
15    | [  0,  0,  0,  2,228,  6,  0]  | [f3]                 | [f3]                
16    | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s2]                
17    | [ 0, 0,16,35, 0, 0, 0]         | [e2]                 | [e2,e3]             
18    | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
19    | [0,0,0,0,1,0,0]                | [a1]                 | [r1]                
20    | [0,0,0,1,0,0,0]                | [b1,b2]              | [b2]                
21    | [ 0, 0, 0, 3,32, 4, 0]         | [f2,f3]              | [f2,f3]             
22    | [0,0,0,1,0,0,0]                | [b1,b2]              | [a1,a2,b1,b2]       
23    | [0,0,1,0,2,0,0]                | [s1]                 | [b2]                
24    | [0,0,1,3,1,0,0]                | [b1]                 | [b1]                
25    | [0,1,0,0,1,0,0]                | [b2]                 | [s1]                
26    | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2,s1,s2]       
27    | [  1,  0, 86,105, 63, 12,  1]  | [f2,f3]              | [e1,e2,f1,f2]       
28    | [0,0,0,1,0,0,0]                | [b1,b2]              | [a1,a2,b1,b2]       
29    | [0,0,0,0,2,0,0]                | [s1]                 | [r1]                
30    | [ 0, 1, 0, 5,29, 6, 0]         | [f2,f3]              | [f2,f3]             
31    | [0,0,0,0,1,0,0]                | [a1]                 | [b1,b2]             
32    | [0,0,0,1,1,0,0]                | [b1,b2]              | [s1,s2]             
33    | [0,0,0,0,0,0,0]                | [a1]                 | [b2]                
34    | [0,0,0,0,0,0,0]                | [a1]                 | [s1,s2]             
35    | [  0,  0, 79,108, 57, 14,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
36    | [  0,  1,216,748,  0,  0,  0]  | [e3]                 | [e3]                
37    | [0,2,0,1,0,0,0]                | [b2]                 | [b1]                
38    | [0,0,2,0,3,0,1]                | [r1,r2,s1,s2]        | [s2]                
39    | [0,0,0,0,0,0,0]                | [a1]                 | [b2]                
40    | [0,0,0,0,0,0,0]                | [a1]                 | [s1]                
41    | [ 0, 0, 0, 5,28, 5, 0]         | [f2,f3]              | [f2,f3]             
42    | [ 0, 0, 1, 5,14, 4, 0]         | [f2]                 | [f2]                
43    | [0,0,0,0,0,0,0]                | [a1]                 | [b1,b2]             
44    | [0,0,0,0,1,0,0]                | [a1]                 | [s2]                
